code_com,code_id,P21_POP,SUPERF,MED21,density,median_income
76290,76290_0001,395,8.1,24210,3.8870217032227288,24210
76291,76291_0001,1164,5.88,23590,5.288060866380848,23590
76292,76292_0001,140,8.03,22750,2.858457894650634,22750
76293,76293_0001,245,3.72,21030,4.187534542259672,21030
76294,76294_0001,381,7.78,21710,3.891243036936401,21710
76295,76295_0001,1183,26.23,19270,3.8089050700996046,19270
76296,76296_0001,2511,4.65,26040,6.29156913955832,26040
76296,76296_0002,2511,4.65,26040,6.29156913955832,26040
76297,76297_0001,225,12.48,21210,2.8919730392631386,21210
76298,76298_0001,463,3.96,26120,4.761483028819845,26120
76299,76299_0001,383,4.91,20800,4.356761047374217,20800
76300,76300_0001,430,3.01,24950,4.961845129926823,24950
76302,76302_0001,2839,7.98,23180,5.874268745011253,23180
76302,76302_0002,2839,7.98,23180,5.874268745011253,23180
76302,76302_0003,2839,7.98,23180,5.874268745011253,23180
76303,76303_0001,729,7.39,27910,4.591545997048548,27910
76304,76304_0001,390,4.22,24830,4.526311611075772,24830
76305,76305_0001,8961,25.81,20470,5.849875093153697,20470
76305,76305_0002,8961,25.81,20470,5.849875093153697,20470
76305,76305_0003,8961,25.81,20470,5.849875093153697,20470
76305,76305_0004,8961,25.81,20470,5.849875093153697,20470
76305,76305_0005,8961,25.81,20470,5.849875093153697,20470
76305,76305_0006,8961,25.81,20470,5.849875093153697,20470
76305,76305_0007,8961,25.81,20470,5.849875093153697,20470
76305,76305_0008,8961,25.81,20470,5.849875093153697,20470
76305,76305_0009,8961,25.81,20470,5.849875093153697,20470
76305,76305_0010,8961,25.81,20470,5.849875093153697,20470
76306,76306_0001,172,2.33,22320,4.3016262092358435,22320
76307,76307_0001,1363,7.32,24010,5.226833103723313,24010
76308,76308_0001,537,8.73,22050,4.119232724657354,22050
76309,76309_0001,130,4.83,25040,3.2926879827911013,25040
76311,76311_0001,426,4.13,24980,4.636161939296429,24980
76312,76312_0001,5944,10.4,19390,6.348331780250268,19390
76312,76312_0002,5944,10.4,19390,6.348331780250268,19390
76312,76312_0003,5944,10.4,19390,6.348331780250268,19390
76312,76312_0004,5944,10.4,19390,6.348331780250268,19390
76313,76313_0001,895,4.97,28970,5.193403878166318,28970
76314,76314_0001,612,6.4,27000,4.5604342921467,27000
76315,76315_0001,1072,18.41,21990,4.064387346385761,21990
76316,76316_0001,439,5.38,25390,4.401811038901478,25390
76317,76317_0001,426,6.29,23420,4.215478275557022,23420
76318,76318_0001,763,4.91,26250,5.0459840894780275,26250
76319,76319_0001,9726,16.91,21100,6.354652828053242,21100
